frame,bohrhaken_id,abstand_cm,abstand_px,kalibrierung_px,kalibrierung_cm_pro_px
"ezgif-frame-028.jpg",2,2.4593,8.55,12.87,0.287559
"ezgif-frame-029.jpg",1,1.7801,2.16,4.49,0.824558
"ezgif-frame-029.jpg",2,3.4588,7.53,8.05,0.459350
"ezgif-frame-030.jpg",1,2.6644,4.31,5.98,0.618419
"ezgif-frame-030.jpg",2,2.9583,9.11,11.39,0.324809
"ezgif-frame-031.jpg",1,4.6888,8.04,6.35,0.583050
"ezgif-frame-031.jpg",2,3.9835,8.05,7.48,0.494735
"ezgif-frame-032.jpg",1,11.6584,9.43,2.99,1.236837
"ezgif-frame-032.jpg",2,3.8249,10.93,10.58,0.349830
"ezgif-frame-033.jpg",1,8.1142,7.33,3.34,1.106261
"ezgif-frame-033.jpg",2,2.4692,8.47,12.69,0.291525
"ezgif-frame-034.jpg",1,7.6741,8.77,4.23,0.874575
"ezgif-frame-034.jpg",2,4.2262,10.94,9.58,0.386323
"ezgif-frame-035.jpg",1,5.7783,7.01,4.49,0.824557
"ezgif-frame-035.jpg",2,2.7462,9.55,12.87,0.287559
"ezgif-frame-036.jpg",1,2.4126,3.52,5.39,0.686073
"ezgif-frame-036.jpg",2,4.4804,14.15,11.68,0.316721
"ezgif-frame-039.jpg",1,9.9987,8.08,2.99,1.236837
"ezgif-frame-039.jpg",2,3.5838,14.49,14.96,0.247367
"ezgif-frame-040.jpg",1,2.1443,2.45,4.23,0.874575
"ezgif-frame-040.jpg",2,4.0226,8.13,7.48,0.494735
"ezgif-frame-043.jpg",1,9.9521,12.72,4.73,0.782244
"ezgif-frame-043.jpg",2,4.0124,13.76,12.69,0.291525
"ezgif-frame-044.jpg",1,4.4032,3.98,3.34,1.106261
"ezgif-frame-044.jpg",2,3.3875,9.88,10.79,0.343037
"ezgif-frame-046.jpg",1,3.6467,3.30,3.34,1.106260
"ezgif-frame-046.jpg",2,5.3104,13.75,9.58,0.386323
"ezgif-frame-048.jpg",1,13.2448,15.14,4.23,0.874575
"ezgif-frame-048.jpg",2,3.7337,9.66,9.58,0.386323
"ezgif-frame-057.jpg",1,6.8438,8.75,4.73,0.782244
"ezgif-frame-057.jpg",2,3.9164,12.76,12.06,0.306821
"ezgif-frame-058.jpg",1,4.5916,5.87,4.73,0.782244
"ezgif-frame-058.jpg",2,3.7276,14.22,14.11,0.262209
"ezgif-frame-058.jpg",3,0.1491,0.44,10.89,0.339785
"ezgif-frame-059.jpg",3,0.1016,0.45,16.52,0.223956
"ezgif-frame-060.jpg",1,1.9797,3.40,6.35,0.583050
"ezgif-frame-060.jpg",2,6.0362,15.62,9.58,0.386323
"ezgif-frame-060.jpg",3,0.2957,0.60,7.48,0.494735
"ezgif-frame-061.jpg",2,2.6179,7.10,10.03,0.368753
"ezgif-frame-061.jpg",3,0.1151,0.60,19.15,0.193161
"ezgif-frame-062.jpg",2,2.7879,9.56,12.69,0.291525
"ezgif-frame-062.jpg",3,0.0351,0.15,15.62,0.236935
"ezgif-frame-063.jpg",3,0.0944,0.46,17.95,0.206140
"ezgif-frame-064.jpg",3,0.0421,0.19,16.72,0.221252
