frame,bohrhaken_id,abstand_cm,abstand_px,kalibrierung_px,kalibrierung_cm_pro_px
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000001.jpg",1,7.5274,4.07,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000001.jpg",2,6.0497,5.19,3.00,1.166667
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000002.jpg",1,4.3605,2.36,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000002.jpg",2,3.8372,5.19,5.00,0.740000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000003.jpg",1,8.1110,4.38,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000003.jpg",2,4.7965,5.19,4.00,0.925000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000003.jpg",3,0.2907,0.47,6.00,0.616667
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000004.jpg",2,10.0291,10.84,4.00,0.925000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000004.jpg",3,0.5814,0.47,3.00,1.233333
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000005.jpg",1,8.5892,4.64,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000005.jpg",2,6.3954,5.19,3.00,1.233333
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000005.jpg",3,0.4361,0.47,4.00,0.925000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000006.jpg",1,12.4866,6.75,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000007.jpg",3,0.5516,0.47,3.16,1.170043
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000008.jpg",1,8.1110,4.38,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000008.jpg",3,0.5814,0.47,3.00,1.233333
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000009.jpg",1,5.3048,2.87,2.00,1.850000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000009.jpg",2,4.7965,5.19,4.00,0.925000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000009.jpg",3,1.7442,0.47,1.00,3.700000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000010.jpg",1,2.5732,2.87,4.12,0.897382
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000010.jpg",2,2.1802,2.36,4.00,0.925000
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000011.jpg",1,3.5365,2.87,3.00,1.233333
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000012.jpg",1,1.7683,2.87,6.00,0.616667
"ClimbingVisualization - MainScene - Android - Unity 6.4 (6000.4.0f1) _DX12_ 2026-07-16 12-09-46_1_000021.jpg",1,3.1589,4.27,5.00,0.740000
