frame,zeit_s,status,status_info,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1,0.0000,NO_POSE,INITIALIZING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
334,1.6372,TRACKED,NORMAL,4.946162,0.745649,6.834392,0.114094,-0.457357,-0.725359,-0.501659
336,1.6624,TRACKED,NORMAL,3.386420,5.822782,5.135129,-0.355846,0.610351,0.611084,0.356963
341,1.6905,TRACKED,NORMAL,3.388606,5.826293,5.140215,-0.355970,0.610254,0.611012,0.357127
346,1.7131,TRACKED,NORMAL,3.389782,5.828924,5.145708,-0.356314,0.610154,0.610943,0.357073
350,1.7300,TRACKED,NORMAL,3.388994,5.827388,5.142195,-0.356124,0.610241,0.611014,0.356991
359,1.7715,TRACKED,NORMAL,3.388852,5.827676,5.143472,-0.356175,0.610186,0.611002,0.357057
362,1.7992,TRACKED,NORMAL,3.389052,5.827559,5.142662,-0.356051,0.610318,0.610945,0.357053
370,1.8397,TRACKED,NORMAL,3.388718,5.827439,5.142431,-0.356194,0.610201,0.611021,0.356980
378,1.8741,TRACKED,NORMAL,3.388756,5.826779,5.141671,-0.356194,0.610252,0.610990,0.356944
395,1.9418,TRACKED,NORMAL,3.388743,5.825616,5.139635,-0.356006,0.610308,0.610999,0.357021
402,1.9724,TRACKED,NORMAL,3.388986,5.826244,5.142041,-0.356039,0.610243,0.611005,0.357089
414,2.0230,TRACKED,NORMAL,3.388095,5.824879,5.139371,-0.355945,0.610349,0.610992,0.357025
428,2.0756,TRACKED,NORMAL,3.388490,5.824468,5.139540,-0.355930,0.610268,0.611021,0.357128
446,2.1431,TRACKED,NORMAL,3.388741,5.825912,5.140709,-0.355914,0.610258,0.611040,0.357130
454,2.1735,TRACKED,NORMAL,3.388397,5.825143,5.139031,-0.355982,0.610284,0.611037,0.357021
465,2.2202,TRACKED,NORMAL,3.388567,5.823645,5.138381,-0.355980,0.610395,0.610917,0.357040
479,2.2808,TRACKED,NORMAL,3.388256,5.822914,5.138556,-0.355851,0.610346,0.611000,0.357109
487,2.3140,TRACKED,NORMAL,3.388523,5.822932,5.137903,-0.355814,0.610366,0.610999,0.357112
496,2.3536,TRACKED,NORMAL,3.389513,5.824663,5.138371,-0.355905,0.610330,0.610995,0.357091
504,2.3860,TRACKED,NORMAL,3.388227,5.823272,5.136684,-0.355829,0.610357,0.611042,0.357040
511,2.4136,TRACKED,NORMAL,3.389225,5.823166,5.138314,-0.355882,0.610290,0.610996,0.357182
521,2.4547,TRACKED,NORMAL,3.389052,5.824339,5.138845,-0.355886,0.610384,0.610971,0.357058
528,2.4861,TRACKED,NORMAL,3.388569,5.824701,5.139173,-0.355973,0.610326,0.611001,0.357021
535,2.5160,TRACKED,NORMAL,3.388682,5.824641,5.139667,-0.355877,0.610308,0.611063,0.357041
544,2.5497,TRACKED,NORMAL,3.389171,5.825091,5.140695,-0.355843,0.610410,0.610953,0.357089
554,2.5892,TRACKED,NORMAL,3.389603,5.824642,5.141231,-0.355815,0.610264,0.611000,0.357285
569,2.6526,TRACKED,NORMAL,3.389430,5.822459,5.137551,-0.355879,0.610259,0.611051,0.357142
575,2.6886,TRACKED,NORMAL,3.389570,5.823397,5.137358,-0.355879,0.610345,0.610967,0.357138
580,2.7177,TRACKED,NORMAL,3.389979,5.821820,5.135136,-0.355880,0.610341,0.610943,0.357185
587,2.7550,TRACKED,NORMAL,3.390781,5.819486,5.132584,-0.355717,0.610410,0.610894,0.357315
595,2.7961,TRACKED,NORMAL,3.390232,5.820160,5.132988,-0.355681,0.610366,0.610984,0.357271
603,2.8336,TRACKED,NORMAL,3.389936,5.818887,5.134145,-0.355637,0.610396,0.610942,0.357335
615,2.8869,TRACKED,NORMAL,3.390690,5.819359,5.133816,-0.355501,0.610249,0.611057,0.357526
626,2.9320,TRACKED,NORMAL,3.389476,5.817197,5.131573,-0.355451,0.610288,0.611103,0.357431
634,2.9620,TRACKED,NORMAL,3.388514,5.814773,5.127403,-0.355335,0.610243,0.611228,0.357408
641,2.9947,TRACKED,NORMAL,3.387195,5.814762,5.127525,-0.355453,0.610243,0.611267,0.357225
